Loading dataset...
Dropout 0.2
Inner Dropout 0.2
Inner Dropout 0.2
Initializing model...
Start training...
{'loss': 1973.0955, 'learning_rate': 0.00011868852459016394, 'epoch': 3.28}
{'eval_loss': 83563.6796875, 'eval_kendalltau': 0.46426549416526924, 'eval_runtime': 32.3234, 'eval_samples_per_second': 4.053, 'eval_steps_per_second': 4.053, 'epoch': 131.15}
{'loss': 816.8931, 'learning_rate': 0.003985903901054912, 'epoch': 134.43}
{'loss': 797.4811, 'learning_rate': 0.003983061085415947, 'epoch': 137.7}
{'loss': 808.8583, 'learning_rate': 0.003979958525253461, 'epoch': 140.98}
{'loss': 789.671, 'learning_rate': 0.003976596626945761, 'epoch': 144.26}
{'loss': 783.9662, 'learning_rate': 0.003972975830839684, 'epoch': 147.54}
{'loss': 796.3218, 'learning_rate': 0.003969096611192914, 'epoch': 150.82}
{'loss': 793.6003, 'learning_rate': 0.003964959476111866, 'epoch': 154.1}
{'loss': 804.9205, 'learning_rate': 0.003960564967485133, 'epoch': 157.38}
{'loss': 758.3745, 'learning_rate': 0.003955913660912509, 'epoch': 160.66}
{'loss': 774.0172, 'learning_rate': 0.003951006165629591, 'epoch': 163.93}
{'eval_loss': 82530.1640625, 'eval_kendalltau': 0.48035056722297303, 'eval_runtime': 32.4853, 'eval_samples_per_second': 4.033, 'eval_steps_per_second': 4.033, 'epoch': 163.93}
{'loss': 772.6957, 'learning_rate': 0.003945843124427988, 'epoch': 167.21}
{'loss': 780.912, 'learning_rate': 0.0039404252135711235, 'epoch': 170.49}
{'loss': 775.5088, 'learning_rate': 0.0039347531427056555, 'epoch': 173.77}
{'loss': 768.2665, 'learning_rate': 0.0039288276547685295, 'epoch': 177.05}
{'loss': 776.9051, 'learning_rate': 0.0039226495258896646, 'epoch': 180.33}
{'loss': 751.966, 'learning_rate': 0.003916219565290297, 'epoch': 183.61}
{'loss': 752.2107, 'learning_rate': 0.003909538615176985, 'epoch': 186.89}
{'loss': 750.5599, 'learning_rate': 0.003902607550631296, 'epoch': 190.16}
{'loss': 770.788, 'learning_rate': 0.0038954272794951886, 'epoch': 193.44}
{'loss': 744.6449, 'learning_rate': 0.0038879987422520985, 'epoch': 196.72}
{'eval_loss': 87001.4375, 'eval_kendalltau': 0.47503409777388256, 'eval_runtime': 32.3679, 'eval_samples_per_second': 4.047, 'eval_steps_per_second': 4.047, 'epoch': 196.72}
{'loss': 752.0796, 'learning_rate': 0.0038803229119037572, 'epoch': 200.0}
{'loss': 748.1948, 'learning_rate': 0.003872400793842741, 'epoch': 203.28}
{'loss': 734.8748, 'learning_rate': 0.003864233425720788, 'epoch': 206.56}
{'loss': 748.5536, 'learning_rate': 0.0038558218773128827, 'epoch': 209.84}
{'loss': 743.8019, 'learning_rate': 0.003847167250377134, 'epoch': 213.11}
{'loss': 733.5905, 'learning_rate': 0.0038382706785104687, 'epoch': 216.39}
{'loss': 729.8307, 'learning_rate': 0.0038291333270001476, 'epoch': 219.67}
{'loss': 719.2716, 'learning_rate': 0.003819756392671135, 'epoch': 222.95}
{'loss': 762.6831, 'learning_rate': 0.003810141103729338, 'epoch': 226.23}
{'loss': 731.9413, 'learning_rate': 0.0038002887196007347, 'epoch': 229.51}
{'eval_loss': 84995.1328125, 'eval_kendalltau': 0.4779684201028844, 'eval_runtime': 32.3479, 'eval_samples_per_second': 4.05, 'eval_steps_per_second': 4.05, 'epoch': 229.51}
{'loss': 716.7519, 'learning_rate': 0.003790200530766409, 'epoch': 232.79}
{'loss': 705.7409, 'learning_rate': 0.0037798778585935253, 'epoch': 236.07}
{'loss': 719.8635, 'learning_rate': 0.00376932205516225, 'epoch': 239.34}
{'loss': 696.5548, 'learning_rate': 0.003758534503088659, 'epoch': 242.62}
{'loss': 705.1816, 'learning_rate': 0.0037475166153436348, 'epoch': 245.9}
{'loss': 701.6659, 'learning_rate': 0.0037362698350677966, 'epoch': 249.18}
{'loss': 690.8423, 'learning_rate': 0.0037249114981952013, 'epoch': 252.46}
{'loss': 714.782, 'learning_rate': 0.0037132136336377615, 'epoch': 255.74}
{'loss': 700.3241, 'learning_rate': 0.0037012913696091027, 'epoch': 259.02}
{'loss': 690.1906, 'learning_rate': 0.003689146267706502, 'epoch': 262.3}
{'eval_loss': 86635.328125, 'eval_kendalltau': 0.4919982897573501, 'eval_runtime': 32.4274, 'eval_samples_per_second': 4.04, 'eval_steps_per_second': 4.04, 'epoch': 262.3}
{'loss': 702.8941, 'learning_rate': 0.003676779918714897, 'epoch': 265.57}
{'loss': 682.0777, 'learning_rate': 0.0036641939423985256, 'epoch': 268.85}
{'loss': 700.903, 'learning_rate': 0.0036513899872887647, 'epoch': 272.13}
{'loss': 704.095, 'learning_rate': 0.003638369730468203, 'epoch': 275.41}
{'loss': 690.0738, 'learning_rate': 0.0036251348773509748, 'epoch': 278.69}
{'loss': 688.7323, 'learning_rate': 0.0036116871614593807, 'epoch': 281.97}
{'loss': 690.5401, 'learning_rate': 0.0035980283441968313, 'epoch': 285.25}
{'loss': 686.3624, 'learning_rate': 0.003584160214617132, 'epoch': 288.52}
{'loss': 690.0648, 'learning_rate': 0.0035700845891901514, 'epoch': 291.8}
{'loss': 701.4935, 'learning_rate': 0.003555803311563897, 'epoch': 295.08}
{'eval_loss': 92019.2734375, 'eval_kendalltau': 0.46672641947332333, 'eval_runtime': 32.52, 'eval_samples_per_second': 4.028, 'eval_steps_per_second': 4.028, 'epoch': 295.08}
{'loss': 704.6988, 'learning_rate': 0.0035413911813985846, 'epoch': 298.36}
{'loss': 693.5274, 'learning_rate': 0.003526705242477787, 'epoch': 301.64}
{'loss': 682.7873, 'learning_rate': 0.0035118193332541662, 'epoch': 304.92}
{'loss': 673.6387, 'learning_rate': 0.0034967354035080034, 'epoch': 308.2}
{'loss': 694.0902, 'learning_rate': 0.003481455428956623, 'epoch': 311.48}
{'loss': 673.7851, 'learning_rate': 0.0034659814109956155, 'epoch': 314.75}
{'loss': 696.0078, 'learning_rate': 0.0034503153764366867, 'epoch': 318.03}
{'loss': 682.0341, 'learning_rate': 0.0034344593772421845, 'epoch': 321.31}
{'loss': 662.867, 'learning_rate': 0.003418415490256331, 'epoch': 324.59}
{'loss': 657.299, 'learning_rate': 0.0034021858169331924, 'epoch': 327.87}
{'eval_loss': 105549.1875, 'eval_kendalltau': 0.4527856107398415, 'eval_runtime': 32.3883, 'eval_samples_per_second': 4.045, 'eval_steps_per_second': 4.045, 'epoch': 327.87}
{'loss': 671.1804, 'learning_rate': 0.003385772483061426, 'epoch': 331.15}
{'loss': 648.6301, 'learning_rate': 0.0033691776384858433, 'epoch': 334.43}
{'loss': 675.903, 'learning_rate': 0.0033524034568258206, 'epoch': 337.7}
{'loss': 665.5852, 'learning_rate': 0.003335452135190592, 'epoch': 340.98}
{'loss': 661.6497, 'learning_rate': 0.003318325893891469, 'epoch': 344.26}
{'loss': 672.4172, 'learning_rate': 0.0033010269761510227, 'epoch': 347.54}
{'loss': 644.9303, 'learning_rate': 0.0032835576478092614, 'epoch': 350.82}
{'loss': 668.6552, 'learning_rate': 0.003265920197026848, 'epoch': 354.1}
{'loss': 657.3701, 'learning_rate': 0.00324811693398539, 'epoch': 357.38}
{'loss': 650.1661, 'learning_rate': 0.0032301501905848537, 'epoch': 360.66}
{'eval_loss': 95764.7578125, 'eval_kendalltau': 0.4795431917428428, 'eval_runtime': 32.538, 'eval_samples_per_second': 4.026, 'eval_steps_per_second': 4.026, 'epoch': 360.66}
{'loss': 662.2061, 'learning_rate': 0.003212022320138124, 'epoch': 363.93}
{'loss': 646.8227, 'learning_rate': 0.003193735697062766, 'epoch': 367.21}
{'loss': 655.3679, 'learning_rate': 0.0031752927165700153, 'epoch': 370.49}
{'loss': 649.1409, 'learning_rate': 0.003156695794351056, 'epoch': 373.77}
{'loss': 648.4817, 'learning_rate': 0.003137947366260608, 'epoch': 377.05}
{'loss': 652.0604, 'learning_rate': 0.003119049887997869, 'epoch': 380.33}
{'loss': 651.2021, 'learning_rate': 0.0031000058347848713, 'epoch': 383.61}
{'loss': 649.5644, 'learning_rate': 0.0030808177010422677, 'epoch': 386.89}
{'loss': 661.4682, 'learning_rate': 0.0030614880000626094, 'epoch': 390.16}
{'loss': 639.9337, 'learning_rate': 0.0030420192636811533, 'epoch': 393.44}
{'eval_loss': 105020.390625, 'eval_kendalltau': 0.45469468052791095, 'eval_runtime': 32.6329, 'eval_samples_per_second': 4.014, 'eval_steps_per_second': 4.014, 'epoch': 393.44}
{'loss': 628.9657, 'learning_rate': 0.0030224140419442343, 'epoch': 396.72}
{'loss': 648.2952, 'learning_rate': 0.003002674902775261, 'epoch': 400.0}
{'loss': 644.4691, 'learning_rate': 0.0029828044316383595, 'epoch': 403.28}
{'loss': 629.6051, 'learning_rate': 0.0029629055430897932, 'epoch': 406.56}
{'loss': 638.8206, 'learning_rate': 0.0029427808568821337, 'epoch': 409.84}
{'loss': 610.2553, 'learning_rate': 0.002922532683724799, 'epoch': 413.11}
{'loss': 630.0307, 'learning_rate': 0.0029021636757560055, 'epoch': 416.39}
{'loss': 641.2657, 'learning_rate': 0.0028816765009411064, 'epoch': 419.67}
{'loss': 621.5682, 'learning_rate': 0.0028610738427231382, 'epoch': 422.95}
{'loss': 623.5632, 'learning_rate': 0.0028403583996713384, 'epoch': 426.23}
{'eval_loss': 98134.8359375, 'eval_kendalltau': 0.4806942546060528, 'eval_runtime': 32.4655, 'eval_samples_per_second': 4.035, 'eval_steps_per_second': 4.035, 'epoch': 426.23}
{'loss': 625.1284, 'learning_rate': 0.0028195328851276847, 'epoch': 429.51}
{'loss': 623.7885, 'learning_rate': 0.002798704953630679, 'epoch': 432.79}
{'loss': 618.324, 'learning_rate': 0.0027776680096077986, 'epoch': 436.07}
{'loss': 618.883, 'learning_rate': 0.0027565292053809624, 'epoch': 439.34}
{'loss': 629.0016, 'learning_rate': 0.0027352913097446756, 'epoch': 442.62}
{'loss': 616.9608, 'learning_rate': 0.0027139571044725915, 'epoch': 445.9}
{'loss': 627.5665, 'learning_rate': 0.002692529383953156, 'epoch': 449.18}
{'loss': 606.0721, 'learning_rate': 0.0026710109548235906, 'epoch': 452.46}
{'loss': 615.9096, 'learning_rate': 0.0026494046356022767, 'epoch': 455.74}
{'loss': 608.9237, 'learning_rate': 0.002627713256319582, 'epoch': 459.02}
{'eval_loss': 96238.578125, 'eval_kendalltau': 0.4857483644822366, 'eval_runtime': 32.5967, 'eval_samples_per_second': 4.019, 'eval_steps_per_second': 4.019, 'epoch': 459.02}
{'loss': 626.8425, 'learning_rate': 0.002605939658147177, 'epoch': 462.3}
{'loss': 604.3269, 'learning_rate': 0.002584086693025894, 'epoch': 465.57}
{'loss': 632.5464, 'learning_rate': 0.002562157223292174, 'epoch': 468.85}
{'loss': 601.2269, 'learning_rate': 0.002540264315209883, 'epoch': 472.13}
{'loss': 616.1066, 'learning_rate': 0.002518190809533986, 'epoch': 475.41}
{'loss': 603.8777, 'learning_rate': 0.002496049430394227, 'epoch': 478.69}
{'loss': 605.5755, 'learning_rate': 0.0024738430779039805, 'epoch': 481.97}
{'loss': 607.1887, 'learning_rate': 0.0024515746606869337, 'epoch': 485.25}
{'loss': 604.0289, 'learning_rate': 0.0024292470954961117, 'epoch': 488.52}
{'loss': 610.2448, 'learning_rate': 0.0024068633068318355, 'epoch': 491.8}
{'eval_loss': 105319.6796875, 'eval_kendalltau': 0.4686954434137216, 'eval_runtime': 32.4492, 'eval_samples_per_second': 4.037, 'eval_steps_per_second': 4.037, 'epoch': 491.8}
{'loss': 611.1409, 'learning_rate': 0.0023844262265586683, 'epoch': 495.08}
{'loss': 621.5659, 'learning_rate': 0.0023619387935213928, 'epoch': 498.36}
{'loss': 611.2923, 'learning_rate': 0.002339403953160077, 'epoch': 501.64}
{'loss': 601.4173, 'learning_rate': 0.0023168246571242767, 'epoch': 504.92}
{'loss': 603.7325, 'learning_rate': 0.0022942038628864245, 'epoch': 508.2}
{'loss': 613.2083, 'learning_rate': 0.0022715445333544525, 'epoch': 511.48}
{'loss': 605.1961, 'learning_rate': 0.0022489631945263955, 'epoch': 514.75}
{'loss': 591.4546, 'learning_rate': 0.002226235858502915, 'epoch': 518.03}
{'loss': 603.2319, 'learning_rate': 0.0022034788897436096, 'epoch': 521.31}
{'loss': 608.1898, 'learning_rate': 0.0021806952689927676, 'epoch': 524.59}
{'eval_loss': 102775.125, 'eval_kendalltau': 0.4737395673247892, 'eval_runtime': 32.4529, 'eval_samples_per_second': 4.037, 'eval_steps_per_second': 4.037, 'epoch': 524.59}
{'loss': 597.5397, 'learning_rate': 0.002157887980485602, 'epoch': 527.87}
{'loss': 602.1498, 'learning_rate': 0.0021350600115573612, 'epoch': 531.15}
{'loss': 579.7404, 'learning_rate': 0.0021122143522520533, 'epoch': 534.43}
{'loss': 596.2866, 'learning_rate': 0.0020893539949307983, 'epoch': 537.7}
{'loss': 601.8882, 'learning_rate': 0.0020664819338798855, 'epoch': 540.98}
{'loss': 595.8555, 'learning_rate': 0.0020436011649185787, 'epoch': 544.26}
{'loss': 603.8937, 'learning_rate': 0.002020714685006716, 'epoch': 547.54}
{'loss': 599.598, 'learning_rate': 0.0019978254918521674, 'epoch': 550.82}
{'loss': 589.4703, 'learning_rate': 0.0019749365835181848, 'epoch': 554.1}
{'loss': 605.8956, 'learning_rate': 0.0019521653730332122, 'epoch': 557.38}
{'eval_loss': 105000.15625, 'eval_kendalltau': 0.4658288887054723, 'eval_runtime': 32.3777, 'eval_samples_per_second': 4.046, 'eval_steps_per_second': 4.046, 'epoch': 557.38}
{'loss': 579.9518, 'learning_rate': 0.001929285989130679, 'epoch': 560.66}
{'loss': 608.0989, 'learning_rate': 0.0019064158674627762, 'epoch': 563.93}
{'loss': 587.0303, 'learning_rate': 0.0018835580035947439, 'epoch': 567.21}
{'loss': 582.668, 'learning_rate': 0.0018607153914862748, 'epoch': 570.49}
{'loss': 573.7243, 'learning_rate': 0.001837891023099362, 'epoch': 573.77}
{'loss': 587.4703, 'learning_rate': 0.001815087888006408, 'epoch': 577.05}
{'loss': 592.5985, 'learning_rate': 0.0017923089729986429, 'epoch': 580.33}
{'loss': 574.6885, 'learning_rate': 0.0017695572616949103, 'epoch': 583.61}
{'loss': 603.6035, 'learning_rate': 0.0017468357341508724, 'epoch': 586.89}
{'loss': 579.4725, 'learning_rate': 0.001724147366468671, 'epoch': 590.16}
{'eval_loss': 100847.4375, 'eval_kendalltau': 0.47380455210941136, 'eval_runtime': 32.427, 'eval_samples_per_second': 4.04, 'eval_steps_per_second': 4.04, 'epoch': 590.16}
{'loss': 563.2798, 'learning_rate': 0.0017014951304071173, 'epoch': 593.44}
{'loss': 574.8045, 'learning_rate': 0.0016788819929924434, 'epoch': 596.72}
{'loss': 569.3402, 'learning_rate': 0.0016563109161296808, 'epoch': 600.0}
{'loss': 576.5127, 'learning_rate': 0.0016337848562146997, 'epoch': 603.28}
{'loss': 559.4452, 'learning_rate': 0.0016113067637469785, 'epoch': 606.56}
{'loss': 565.412, 'learning_rate': 0.0015888795829431443, 'epoch': 609.84}
{'loss': 570.8371, 'learning_rate': 0.0015666179792087594, 'epoch': 613.11}
{'loss': 565.4233, 'learning_rate': 0.0015443011361478476, 'epoch': 616.39}
{'loss': 579.7297, 'learning_rate': 0.0015221551137298422, 'epoch': 619.67}
{'loss': 572.4645, 'learning_rate': 0.0014999602420282675, 'epoch': 622.95}
{'eval_loss': 108157.7421875, 'eval_kendalltau': 0.47705376048502174, 'eval_runtime': 32.4325, 'eval_samples_per_second': 4.039, 'eval_steps_per_second': 4.039, 'epoch': 622.95}
{'loss': 565.2614, 'learning_rate': 0.00147783086633669, 'epoch': 626.23}
{'loss': 589.6177, 'learning_rate': 0.0014557698851962537, 'epoch': 629.51}
{'loss': 567.2298, 'learning_rate': 0.001433780188189672, 'epoch': 632.79}
{'loss': 562.4657, 'learning_rate': 0.0014118646555627509, 'epoch': 636.07}
{'loss': 567.3012, 'learning_rate': 0.0013900261578471248, 'epoch': 639.34}
{'loss': 567.91, 'learning_rate': 0.0013682675554842717, 'epoch': 642.62}
{'loss': 579.5007, 'learning_rate': 0.0013465916984508502, 'epoch': 645.9}
{'loss': 575.3494, 'learning_rate': 0.0013250014258854009, 'epoch': 649.18}
{'loss': 565.4839, 'learning_rate': 0.001303499565716473, 'epoch': 652.46}
{'loss': 562.1537, 'learning_rate': 0.0012820889342922209, 'epoch': 655.74}
{'eval_loss': 108794.2109375, 'eval_kendalltau': 0.4699108387675976, 'eval_runtime': 32.4556, 'eval_samples_per_second': 4.036, 'eval_steps_per_second': 4.036, 'epoch': 655.74}
{'loss': 554.3003, 'learning_rate': 0.0012607723360115082, 'epoch': 659.02}
{'loss': 565.4093, 'learning_rate': 0.0012396584163661042, 'epoch': 662.3}
{'loss': 543.2717, 'learning_rate': 0.0012185377430214527, 'epoch': 665.57}
{'loss': 568.6506, 'learning_rate': 0.0011975194268573652, 'epoch': 668.85}
{'loss': 564.846, 'learning_rate': 0.0011766062208866243, 'epoch': 672.13}
{'loss': 558.6187, 'learning_rate': 0.0011558008643545116, 'epoch': 675.41}
{'loss': 562.4269, 'learning_rate': 0.001135106082380016, 'epoch': 678.69}
{'loss': 548.2646, 'learning_rate': 0.0011145245855988905, 'epoch': 681.97}
{'loss': 559.491, 'learning_rate': 0.001094059069808618, 'epoch': 685.25}
{'loss': 576.8187, 'learning_rate': 0.001073712215615298, 'epoch': 688.52}
{'eval_loss': 108069.0703125, 'eval_kendalltau': 0.47704016168898333, 'eval_runtime': 32.6049, 'eval_samples_per_second': 4.018, 'eval_steps_per_second': 4.018, 'epoch': 688.52}
{'loss': 561.6269, 'learning_rate': 0.001053486688082548, 'epoch': 691.8}
{'loss': 550.5304, 'learning_rate': 0.0010333851363824233, 'epoch': 695.08}
{'loss': 556.966, 'learning_rate': 0.0010134101934484263, 'epoch': 698.36}
{'loss': 547.4398, 'learning_rate': 0.00099356447563064, 'epoch': 701.64}
{'loss': 560.8023, 'learning_rate': 0.0009738505823530324, 'epoch': 704.92}
{'loss': 558.2963, 'learning_rate': 0.0009542710957729854, 'epoch': 708.2}
{'loss': 546.0328, 'learning_rate': 0.000934828580443072, 'epoch': 711.48}
{'loss': 553.9456, 'learning_rate': 0.0009155255829751537, 'epoch': 714.75}
{'loss': 559.1376, 'learning_rate': 0.0008963646317068173, 'epoch': 718.03}
{'loss': 548.7038, 'learning_rate': 0.0008773482363702107, 'epoch': 721.31}
{'eval_loss': 101611.234375, 'eval_kendalltau': 0.48290416722651625, 'eval_runtime': 32.5524, 'eval_samples_per_second': 4.024, 'eval_steps_per_second': 4.024, 'epoch': 721.31}
{'loss': 558.7446, 'learning_rate': 0.0008584788877633152, 'epoch': 724.59}
{'loss': 558.958, 'learning_rate': 0.0008397590574236913, 'epoch': 727.87}
{'loss': 550.4268, 'learning_rate': 0.0008211911973047632, 'epoch': 731.15}
{'loss': 550.9742, 'learning_rate': 0.0008027777394546458, 'epoch': 734.43}
{'loss': 548.7355, 'learning_rate': 0.0007845210956976003, 'epoch': 737.7}
{'loss': 559.423, 'learning_rate': 0.0007664236573181258, 'epoch': 740.98}
{'loss': 565.6354, 'learning_rate': 0.0007484877947477455, 'epoch': 744.26}
{'loss': 556.9508, 'learning_rate': 0.0007307158572545219, 'epoch': 747.54}
{'loss': 545.3315, 'learning_rate': 0.0007131977836807066, 'epoch': 750.82}
{'loss': 543.4484, 'learning_rate': 0.000695759809462111, 'epoch': 754.1}
{'eval_loss': 110747.359375, 'eval_kendalltau': 0.4740865106707436, 'eval_runtime': 32.5053, 'eval_samples_per_second': 4.03, 'eval_steps_per_second': 4.03, 'epoch': 754.1}
{'loss': 555.6052, 'learning_rate': 0.0006784926667168058, 'epoch': 757.38}
{'loss': 544.1158, 'learning_rate': 0.0006613986171228628, 'epoch': 760.66}
{'loss': 540.2991, 'learning_rate': 0.000644479899686329, 'epoch': 763.93}
{'loss': 545.7329, 'learning_rate': 0.0006277387304479674, 'epoch': 767.21}
{'loss': 543.3643, 'learning_rate': 0.0006111773021929923, 'epoch': 770.49}
{'loss': 540.3578, 'learning_rate': 0.0005947977841638553, 'epoch': 773.77}
{'loss': 559.2011, 'learning_rate': 0.000578602321776115, 'epoch': 777.05}
{'loss': 537.5416, 'learning_rate': 0.0005625930363374266, 'epoch': 780.33}
{'loss': 544.3205, 'learning_rate': 0.0005467720247696899, 'epoch': 783.61}
{'loss': 543.4114, 'learning_rate': 0.0005311413593343901, 'epoch': 786.89}
{'eval_loss': 106566.9296875, 'eval_kendalltau': 0.47786139051375603, 'eval_runtime': 32.4458, 'eval_samples_per_second': 4.038, 'eval_steps_per_second': 4.038, 'epoch': 786.89}
{'loss': 539.244, 'learning_rate': 0.0005157030873611712, 'epoch': 790.16}
{'loss': 523.3376, 'learning_rate': 0.000500459230979673, 'epoch': 793.44}
{'loss': 553.9218, 'learning_rate': 0.00048541178685466903, 'epoch': 796.72}
{'loss': 553.8679, 'learning_rate': 0.0004705627259245384, 'epoch': 800.0}
{'loss': 539.9384, 'learning_rate': 0.0004559139931431144, 'epoch': 803.28}
{'loss': 554.0702, 'learning_rate': 0.00044146750722492566, 'epoch': 806.56}
{'loss': 527.8129, 'learning_rate': 0.00042722516039388127, 'epoch': 809.84}
{'loss': 531.0804, 'learning_rate': 0.0004131888181354282, 'epoch': 813.11}
{'loss': 542.6559, 'learning_rate': 0.0003993603189522004, 'epoch': 816.39}
{'loss': 519.1952, 'learning_rate': 0.0003857414741232148, 'epoch': 819.67}
{'eval_loss': 108971.078125, 'eval_kendalltau': 0.47900459957670727, 'eval_runtime': 32.7992, 'eval_samples_per_second': 3.994, 'eval_steps_per_second': 3.994, 'epoch': 819.67}
{'loss': 542.4464, 'learning_rate': 0.000372334067466622, 'epoch': 822.95}
{'loss': 542.5716, 'learning_rate': 0.0003591398551060652, 'epoch': 826.23}
{'loss': 552.3452, 'learning_rate': 0.000346160565240653, 'epoch': 829.51}
{'loss': 527.0126, 'learning_rate': 0.0003333978979186021, 'epoch': 832.79}
{'loss': 545.5392, 'learning_rate': 0.00032085352481456096, 'epoch': 836.07}
{'loss': 525.2191, 'learning_rate': 0.00030852908901065116, 'epoch': 839.34}
{'loss': 520.4021, 'learning_rate': 0.0002964262047812534, 'epoch': 842.62}
{'loss': 543.8375, 'learning_rate': 0.0002845464573815664, 'epoch': 845.9}
{'loss': 523.2788, 'learning_rate': 0.0002728914028399718, 'epoch': 849.18}
{'loss': 534.177, 'learning_rate': 0.0002614625677542173, 'epoch': 852.46}
{'eval_loss': 110401.0546875, 'eval_kendalltau': 0.47513063778643805, 'eval_runtime': 32.5457, 'eval_samples_per_second': 4.025, 'eval_steps_per_second': 4.025, 'epoch': 852.46}
{'loss': 559.5066, 'learning_rate': 0.00025031688580080537, 'epoch': 855.74}
{'loss': 517.5615, 'learning_rate': 0.0002393438011838014, 'epoch': 859.02}
{'loss': 525.4905, 'learning_rate': 0.00022860133014134145, 'epoch': 862.3}
{'loss': 554.6882, 'learning_rate': 0.00021809087973952425, 'epoch': 865.57}
{'loss': 526.9078, 'learning_rate': 0.00020781382665401038, 'epoch': 868.85}
{'loss': 530.8944, 'learning_rate': 0.0001977715169897065, 'epoch': 872.13}
{'loss': 527.6638, 'learning_rate': 0.0001879652661044493, 'epoch': 875.41}
{'loss': 524.803, 'learning_rate': 0.00017839635843671763, 'epoch': 878.69}
{'loss': 544.1307, 'learning_rate': 0.00016906604733739396, 'epoch': 881.97}
{'loss': 542.2832, 'learning_rate': 0.00015997555490560055, 'epoch': 885.25}
